id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
13050,bright and stylish duplex,50846,jennifer,brooklyn,bedford-stuyvesant,40.68554,-73.9409,entire home/apt,115,3,11,2017-01-01,0.1,1,0
16458,light-filled 2b duplex in the heart of park slope!,64056,sara,brooklyn,park slope,40.67343,-73.98338,entire home/apt,225,3,4,2017-09-24,0.16,1,0
20300,great location for nyc,76627,pas,manhattan,east village,40.72912,-73.98057,private room,50,1,2,2016-02-14,0.05,1,0
32331,"sunny, cobble hill apartment",139874,sarah,brooklyn,cobble hill,40.6857,-73.99183,entire home/apt,140,2,4,2016-04-24,0.04,1,0
41513,convenient cozy cheap apt manhattan,181167,lorenzo,manhattan,harlem,40.82704,-73.94907,entire home/apt,80,3,2,2015-11-02,0.04,1,0
47370,chelsea studio sublet 1 - 2 months,214287,alex,manhattan,chelsea,40.74031,-73.99999,entire home/apt,125,3,3,2015-07-17,0.03,1,0
53196,big room/washer-dryer/wifi/ac/jmz,247432,charlotte,brooklyn,bedford-stuyvesant,40.69546,-73.93503,private room,80,2,11,2017-11-13,0.48,1,0
60794,"bright and spacious, garden below!",293394,rachel,manhattan,upper west side,40.80021,-73.96071,entire home/apt,195,4,4,2017-08-25,0.04,1,0
61167,colorful private one bedroom apt,295760,greta,manhattan,little italy,40.71961,-73.9954,entire home/apt,135,2,21,2015-12-12,0.2,1,0
74860,"sunlit and cozy williamsburg/greenpoint, brooklyn",394752,allison,brooklyn,greenpoint,40.72488,-73.95018,private room,55,2,1,2011-03-28,0.01,1,0
78919,"historic house boerum hill, bk, nyc",422561,nancy,brooklyn,boerum hill,40.68674,-73.98876,entire home/apt,135,4,6,2016-02-05,0.1,1,0
84059,so much room in brooklyn,459054,famous,brooklyn,crown heights,40.67591,-73.94715,entire home/apt,150,5,5,2018-07-22,0.05,1,0
95747,lovely 1br in tree-lined wburg,509341,tessa,brooklyn,williamsburg,40.71055,-73.95098,entire home/apt,140,7,13,2016-07-18,0.13,1,0
112304,cozy private room in west harlem!,573316,kelli,manhattan,harlem,40.8054,-73.95189,private room,90,1,1,2016-01-02,0.02,1,0
126816,gorgeous upper west side apartment,620288,eric,manhattan,upper west side,40.79918,-73.96607,private room,85,1,3,2014-11-06,0.03,1,0
132695,perfect williamsburg summer haven,507186,holly,brooklyn,williamsburg,40.71109,-73.94332,entire home/apt,125,2,15,2016-06-06,0.15,1,0
135706,the ground studio - west side,665013,jeff,manhattan,chelsea,40.74488,-74.001,entire home/apt,132,4,10,2017-01-01,0.1,1,0
142069,"east village studio, sunny & quiet",277747,josh,manhattan,east village,40.72485,-73.97813,entire home/apt,150,4,22,2014-11-10,0.23,1,0
145064,the heart of prime williamsburg,404424,oliver,brooklyn,williamsburg,40.71943,-73.9565,entire home/apt,145,7,8,2014-06-06,0.08,1,0
145994,cozy 2 bedroom with private garden,706418,carolyn,manhattan,upper west side,40.79264,-73.97294,entire home/apt,95,5,2,2018-07-06,0.08,1,0
148201,nyc - sunny greenwich village 1br,715807,john,manhattan,greenwich village,40.72831,-74.00177,entire home/apt,175,3,18,2013-05-31,0.19,1,0
150804,lower east side 2 bed apt.,726333,peter,manhattan,lower east side,40.72008,-73.98404,entire home/apt,250,4,19,2019-07-06,0.2,1,0
158913,"nice, cozy, neat apt greenpoint,bk",762563,lennny & megan,brooklyn,greenpoint,40.72489,-73.95494,entire home/apt,130,5,4,2015-03-13,0.05,1,0
160609,location location location uws 60's,769247,ligia,manhattan,upper west side,40.77724,-73.98109,entire home/apt,200,3,10,2019-01-01,0.12,1,0
